,Year,Name,Pop
0,1982,rap,60
1,1982,pop,394
2,1982,rock,660
3,1982,soul,21
4,1982,folk,51
5,1982,jazz,5
6,1982,blues,100
7,1982,metal,125
8,1982,punk,138
9,1982,polish,236
10,1983,rap,61
11,1983,pop,717
12,1983,rock,837
13,1983,soul,28
14,1983,folk,30
15,1983,jazz,9
16,1983,blues,61
17,1983,metal,50
18,1983,punk,198
19,1983,polish,352
20,1984,rap,13
21,1984,pop,832
22,1984,rock,902
23,1984,soul,62
24,1984,folk,36
25,1984,jazz,2
26,1984,blues,54
27,1984,metal,31
28,1984,punk,282
29,1984,polish,449
30,1985,rap,27
31,1985,pop,783
32,1985,rock,979
33,1985,soul,41
34,1985,folk,40
35,1985,jazz,2
36,1985,blues,71
37,1985,metal,32
38,1985,punk,205
39,1985,polish,347
40,1986,rap,20
41,1986,pop,730
42,1986,rock,1026
43,1986,soul,20
44,1986,folk,32
45,1986,jazz,0
46,1986,blues,45
47,1986,metal,78
48,1986,punk,183
49,1986,polish,245
50,1987,rap,28
51,1987,pop,714
52,1987,rock,1067
53,1987,soul,25
54,1987,folk,24
55,1987,jazz,7
56,1987,blues,99
57,1987,metal,97
58,1987,punk,220
59,1987,polish,260
60,1988,rap,29
61,1988,pop,689
62,1988,rock,972
63,1988,soul,102
64,1988,folk,70
65,1988,jazz,34
66,1988,blues,66
67,1988,metal,74
68,1988,punk,192
69,1988,polish,361
70,1989,rap,31
71,1989,pop,788
72,1989,rock,889
73,1989,soul,114
74,1989,folk,47
75,1989,jazz,32
76,1989,blues,67
77,1989,metal,178
78,1989,punk,151
79,1989,polish,240
80,1990,rap,62
81,1990,pop,736
82,1990,rock,948
83,1990,soul,9
84,1990,folk,35
85,1990,jazz,47
86,1990,blues,51
87,1990,metal,105
88,1990,punk,140
89,1990,polish,238
90,1991,rap,22
91,1991,pop,678
92,1991,rock,1013
93,1991,soul,34
94,1991,folk,22
95,1991,jazz,7
96,1991,blues,40
97,1991,metal,186
98,1991,punk,140
99,1991,polish,206
100,1992,rap,18
101,1992,pop,517
102,1992,rock,1047
103,1992,soul,71
104,1992,folk,21
105,1992,jazz,0
106,1992,blues,32
107,1992,metal,252
108,1992,punk,82
109,1992,polish,131
110,1993,rap,40
111,1993,pop,791
112,1993,rock,1010
113,1993,soul,106
114,1993,folk,24
115,1993,jazz,1
116,1993,blues,55
117,1993,metal,132
118,1993,punk,83
119,1993,polish,279
120,1994,rap,52
121,1994,pop,882
122,1994,rock,901
123,1994,soul,29
124,1994,folk,60
125,1994,jazz,28
126,1994,blues,37
127,1994,metal,94
128,1994,punk,84
129,1994,polish,359
130,1995,rap,71
131,1995,pop,950
132,1995,rock,824
133,1995,soul,42
134,1995,folk,18
135,1995,jazz,12
136,1995,blues,25
137,1995,metal,60
138,1995,punk,104
139,1995,polish,503
140,1996,rap,42
141,1996,pop,924
142,1996,rock,716
143,1996,soul,49
144,1996,folk,46
145,1996,jazz,11
146,1996,blues,20
147,1996,metal,59
148,1996,punk,81
149,1996,polish,453
150,1997,rap,66
151,1997,pop,827
152,1997,rock,828
153,1997,soul,30
154,1997,folk,39
155,1997,jazz,1
156,1997,blues,38
157,1997,metal,83
158,1997,punk,138
159,1997,polish,568
160,1998,rap,65
161,1998,pop,735
162,1998,rock,885
163,1998,soul,1
164,1998,folk,26
165,1998,jazz,9
166,1998,blues,67
167,1998,metal,111
168,1998,punk,61
169,1998,polish,411
170,1999,rap,38
171,1999,pop,835
172,1999,rock,889
173,1999,soul,0
174,1999,folk,24
175,1999,jazz,38
176,1999,blues,25
177,1999,metal,209
178,1999,punk,147
179,1999,polish,352
180,2000,rap,33
181,2000,pop,700
182,2000,rock,782
183,2000,soul,16
184,2000,folk,77
185,2000,jazz,32
186,2000,blues,15
187,2000,metal,161
188,2000,punk,113
189,2000,polish,467
190,2001,rap,92
191,2001,pop,733
192,2001,rock,845
193,2001,soul,53
194,2001,folk,93
195,2001,jazz,28
196,2001,blues,53
197,2001,metal,105
198,2001,punk,152
199,2001,polish,286
200,2002,rap,73
201,2002,pop,658
202,2002,rock,851
203,2002,soul,14
204,2002,folk,127
205,2002,jazz,40
206,2002,blues,71
207,2002,metal,151
208,2002,punk,97
209,2002,polish,403
210,2003,rap,94
211,2003,pop,778
212,2003,rock,687
213,2003,soul,31
214,2003,folk,42
215,2003,jazz,34
216,2003,blues,117
217,2003,metal,163
218,2003,punk,84
219,2003,polish,346
220,2004,rap,159
221,2004,pop,794
222,2004,rock,679
223,2004,soul,27
224,2004,folk,16
225,2004,jazz,47
226,2004,blues,55
227,2004,metal,159
228,2004,punk,147
229,2004,polish,409
230,2005,rap,45
231,2005,pop,668
232,2005,rock,645
233,2005,soul,0
234,2005,folk,32
235,2005,jazz,61
236,2005,blues,59
237,2005,metal,169
238,2005,punk,252
239,2005,polish,403
240,2006,rap,115
241,2006,pop,891
242,2006,rock,714
243,2006,soul,4
244,2006,folk,26
245,2006,jazz,84
246,2006,blues,42
247,2006,metal,92
248,2006,punk,63
249,2006,polish,357
250,2007,rap,120
251,2007,pop,678
252,2007,rock,605
253,2007,soul,0
254,2007,folk,41
255,2007,jazz,82
256,2007,blues,69
257,2007,metal,90
258,2007,punk,133
259,2007,polish,563
260,2008,rap,72
261,2008,pop,620
262,2008,rock,715
263,2008,soul,99
264,2008,folk,28
265,2008,jazz,76
266,2008,blues,74
267,2008,metal,140
268,2008,punk,166
269,2008,polish,455
270,2009,rap,72
271,2009,pop,744
272,2009,rock,759
273,2009,soul,45
274,2009,folk,24
275,2009,jazz,74
276,2009,blues,28
277,2009,metal,135
278,2009,punk,73
279,2009,polish,319
280,2010,rap,23
281,2010,pop,585
282,2010,rock,721
283,2010,soul,36
284,2010,folk,12
285,2010,jazz,62
286,2010,blues,85
287,2010,metal,154
288,2010,punk,99
289,2010,polish,476
290,2011,rap,43
291,2011,pop,733
292,2011,rock,752
293,2011,soul,78
294,2011,folk,40
295,2011,jazz,57
296,2011,blues,102
297,2011,metal,238
298,2011,punk,109
299,2011,polish,440
300,2012,rap,35
301,2012,pop,695
302,2012,rock,627
303,2012,soul,40
304,2012,folk,94
305,2012,jazz,14
306,2012,blues,101
307,2012,metal,211
308,2012,punk,134
309,2012,polish,578
310,2013,rap,8
311,2013,pop,598
312,2013,rock,909
313,2013,soul,20
314,2013,folk,143
315,2013,jazz,7
316,2013,blues,105
317,2013,metal,232
318,2013,punk,40
319,2013,polish,438
320,2014,rap,59
321,2014,pop,600
322,2014,rock,693
323,2014,soul,7
324,2014,folk,26
325,2014,jazz,15
326,2014,blues,99
327,2014,metal,130
328,2014,punk,104
329,2014,polish,559
330,2015,rap,58
331,2015,pop,708
332,2015,rock,763
333,2015,soul,11
334,2015,folk,61
335,2015,jazz,15
336,2015,blues,154
337,2015,metal,90
338,2015,punk,121
339,2015,polish,718
340,2016,rap,73
341,2016,pop,721
342,2016,rock,600
343,2016,soul,30
344,2016,folk,24
345,2016,jazz,24
346,2016,blues,109
347,2016,metal,147
348,2016,punk,84
349,2016,polish,692
350,2017,rap,27
351,2017,pop,821
352,2017,rock,891
353,2017,soul,1
354,2017,folk,56
355,2017,jazz,7
356,2017,blues,155
357,2017,metal,239
358,2017,punk,59
359,2017,polish,652
360,2018,rap,14
361,2018,pop,682
362,2018,rock,610
363,2018,soul,8
364,2018,folk,102
365,2018,jazz,45
366,2018,blues,128
367,2018,metal,77
368,2018,punk,20
369,2018,polish,702
370,2019,rap,20
371,2019,pop,572
372,2019,rock,662
373,2019,soul,2
374,2019,folk,37
375,2019,jazz,48
376,2019,blues,113
377,2019,metal,65
378,2019,punk,124
379,2019,polish,697
